virus,evidence,P,paths,residuals,VirusClass,VirusOrder,VirusFamily,VirusGenus
Bovine alphaherpesvirus 5,53.977698774522,1.0,137,1.136957176961273,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Deltapapillomavirus 2,8.616663027194408,0.9998189693265093,23,1.092785106514592,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Deltapapillomavirus
Feline foamy virus,9.50325420853579,0.9999253969237042,25,1.0832773766555728,Revtraviricetes,Ortervirales,Retroviridae,Felispumavirus
Ungulate tetraparvovirus 4,18.062645326069116,0.9999999856948374,45,1.0619480909779702,Quintoviricetes,Piccovirales,Parvoviridae,Tetraparvovirus
Deltapapillomavirus 3,18.063966283768966,0.9999999857137214,45,1.0618787302856219,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Deltapapillomavirus
Ovine mastadenovirus B,18.063966283769012,0.9999999857137214,45,1.0618787302856196,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Dyokappapapillomavirus 1,18.063966283769048,0.9999999857137214,45,1.0618787302856179,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyokappapapillomavirus
Bukalasa bat virus,3.0217392661354383,0.9535466278743213,8,1.030596994632862,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Bat mastadenovirus A,12.4179365860419,0.9999959546425031,30,1.011877048064596,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Phocine morbillivirus,38.31187720127828,1.0,87,1.0080289465390697,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus
Canine parainfluenza virus,25.8615618258156,0.9999999999941322,59,0.9924074670434888,Monjiviricetes,Mononegavirales,Paramyxoviridae,
Tibrogargan tibrovirus,73.40988939780436,1.0,157,0.9815804590984518,Monjiviricetes,Mononegavirales,Rhabdoviridae,Tibrovirus
Macacine gammaherpesvirus 4,16.029131256064236,0.9999998906958383,37,0.979486618535637,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus
Primate erythroparvovirus 3,16.02913125606428,0.9999998906958383,37,0.9794866185356343,Quintoviricetes,Piccovirales,Parvoviridae,Erythroparvovirus
Deer atadenovirus A,19.69785028137906,0.9999999972117461,44,0.9572778608219323,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus
Sakobuvirus A,11.45798021573519,0.9999894352839159,26,0.9450854846399461,Pisoniviricetes,Picornavirales,Picornaviridae,Sakobuvirus
Murid betaherpesvirus 2,37.80494968219338,1.0,80,0.9367809528908331,Herviviricetes,Herpesvirales,Herpesviridae,Muromegalovirus
Equid alphaherpesvirus 8,37.7888572868131,1.0,77,0.8989635585809532,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Papiine alphaherpesvirus 2,20.557749404969876,0.9999999988199977,43,0.8937618506122882,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus
Ectromelia virus,42.70926674409214,1.0,84,0.8698811499732244,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus
Parapoxvirus of red deer in New Zealand,9.988124003054965,0.9999540597971106,21,0.8617259534451072,Pokkesviricetes,Chitovirales,Poxviridae,Parapoxvirus
Equid alphaherpesvirus 4,34.280808035515165,0.9999999999999987,66,0.8372206007776213,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Carnivore protoparvovirus 1,191.25577033134087,1.0,328,0.8101418636355335,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus
Langur virus,4.972405306243513,0.9931211782307212,10,0.7813370620601039,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus
Acara orthobunyavirus,30.591910274534417,0.9999999999999483,53,0.7258406784431437,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Benevides orthobunyavirus,30.59191027453747,0.9999999999999483,53,0.7258406784430496,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Torque teno felis virus 2,13.448346358649378,0.9999985563671405,24,0.7131272689498278,,,Anelloviridae,Etatorquevirus
Carnivore bocaparvovirus 3,13.448346358649449,0.9999985563671405,24,0.7131272689498225,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus
Dyothetapapillomavirus 1,13.448346358649452,0.9999985563671405,24,0.713127268949822,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyothetapapillomavirus
Orthohepevirus C,41.76171227172112,1.0,69,0.6944506102615087,Alsuviricetes,Hepelivirales,Hepeviridae,Orthohepevirus
Saimiriine betaherpesvirus 4,4.505057222708088,0.9890678746305631,8,0.6518100352973437,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus
Dyoomikronpapillomavirus 1,4.505057222708098,0.9890678746305631,8,0.6518100352973415,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyoomikronpapillomavirus
Squirrel monkey retrovirus,4.505057222708101,0.9890678746305633,8,0.6518100352973408,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus
Macaque simian foamy virus,45.4398937220674,1.0,71,0.6429635072122188,Revtraviricetes,Ortervirales,Retroviridae,Spumavirus
Alphapapillomavirus 12,50.82442126502169,1.0,78,0.630777039875789,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Alphapapillomavirus
Cowbone Ridge virus,16.35877507368384,0.9999999213906472,26,0.6073576215298178,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Phnom Penh bat virus,4.1122769460599775,0.9838932179796802,7,0.6048012313079798,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Sapelovirus B,46.08553210066325,1.0,67,0.5715946964329452,Pisoniviricetes,Picornavirales,Picornaviridae,Sapelovirus
Macacine betaherpesvirus 3,46.085532100663535,1.0,67,0.5715946964329399,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus
Turlock orthobunyavirus,54.552768876864256,1.0,73,0.49738433019194117,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Baboon orthoreovirus,40.122213950848014,1.0,52,0.449573696327632,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus
Oita ledantevirus,3.467451686078305,0.9697473469597832,5,0.43009644135027836,Monjiviricetes,Mononegavirales,Rhabdoviridae,Ledantevirus
Shimoni bat lyssavirus,11.878915073717168,0.9999930649480191,16,0.42535840537344827,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus
Middelburg virus,90.69183141115693,1.0,108,0.40695199248755465,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus
Khujand lyssavirus,4.484822245162254,0.988846902365917,6,0.36839770186209075,Monjiviricetes,Mononegavirales,Rhabdoviridae,Lyssavirus
Deltapapillomavirus 6,14.45774783905502,0.9999994738862353,18,0.3568006352852855,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Deltapapillomavirus
Qalyub orthonairovirus,82.90599827806038,1.0,92,0.3317435285543233,Ellioviricetes,Bunyavirales,Nairoviridae,Orthonairovirus
African green monkey simian foamy virus,17.837584502798855,0.9999999820842304,21,0.31170018137554933,Revtraviricetes,Ortervirales,Retroviridae,Spumavirus
Bubaline alphaherpesvirus 1,17.144875212991334,0.9999999641841482,20,0.3004772477883537,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus
Ateline gammaherpesvirus 3,18.372398502632734,0.9999999895053319,21,0.28368084996905374,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus
Betapapillomavirus 6,28.37512113739413,0.9999999999995248,30,0.22809246671986028,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus
Arumowot phlebovirus,7.074072833130572,0.9991539391312853,8,0.2238282508542222,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus
Murid gammaherpesvirus 7,35.622208517184326,0.9999999999999996,37,0.22207822150722967,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus
Araguari virus,7.491706526864682,0.9994426204110184,8,0.16942403008524365,Insthoviricetes,Articulavirales,Orthomyxoviridae,Thogotovirus
Carnivore amdoparvovirus 2,9.690452013353244,0.999938132396454,10,0.14848512441320239,Quintoviricetes,Piccovirales,Parvoviridae,Amdoparvovirus
Guajara orthobunyavirus,81.3632073968388,1.0,75,0.14525927879648215,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus
Muleshoe hantavirus,20.46738768943647,0.9999999987084047,20,0.1324721857948714,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus
Jutiapa virus,20.46738768943653,0.9999999987084047,20,0.13247218579486875,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus
Salem salemvirus,70.40645645247183,1.0,63,0.10809030217747306,Monjiviricetes,Mononegavirales,Paramyxoviridae,Salemvirus
Equine mastadenovirus A,70.4144323494187,1.0,63,0.10798286262463463,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
Dyoiotapapillomavirus 2,70.41588574386346,1.0,63,0.10796328594317028,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyoiotapapillomavirus
Equine mastadenovirus B,70.41588574386346,1.0,63,0.10796328594317028,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus
