virus,host
African green monkey simian foamy virus,Pan paniscus
African green monkey simian foamy virus,Pan troglodytes
African green monkey simian foamy virus,Papio anubis
African green monkey simian foamy virus,Papio cynocephalus
African green monkey simian foamy virus,Papio hamadryas
African green monkey simian foamy virus,Papio papio
African green monkey simian foamy virus,Papio ursinus
African green monkey simian foamy virus,Piliocolobus badius
African green monkey simian foamy virus,Piliocolobus tephrosceles
African green monkey simian foamy virus,Pongo pygmaeus
African green monkey simian foamy virus,Saimiri sciureus
African green monkey simian foamy virus,Theropithecus gelada
African horse sickness virus,Acinonyx jubatus
African horse sickness virus,Acomys cahirinus
African horse sickness virus,Addax nasomaculatus
African horse sickness virus,Aepyceros melampus
African horse sickness virus,Ailuropoda melanoleuca
African horse sickness virus,Ailurus fulgens
African horse sickness virus,Akodon montensis
African horse sickness virus,Alcelaphus buselaphus
African horse sickness virus,Alouatta belzebul
African horse sickness virus,Alouatta caraya
African horse sickness virus,Alouatta pigra
African horse sickness virus,Antidorcas marsupialis
African horse sickness virus,Antilope cervicapra
African horse sickness virus,Arctocephalus australis
African horse sickness virus,Arvicanthis niloticus
African horse sickness virus,Arvicola scherman
African horse sickness virus,Atelerix albiventris
African horse sickness virus,Atilax paludinosus
African horse sickness virus,Balaenoptera acutorostrata
African horse sickness virus,Bassariscus astutus
African horse sickness virus,Beatragus hunteri
African horse sickness virus,Bettongia gaimardi
African horse sickness virus,Bison bonasus
African horse sickness virus,Bos grunniens
African horse sickness virus,Bos taurus
African horse sickness virus,Boselaphus tragocamelus
African horse sickness virus,Bradypus tridactylus
African horse sickness virus,Bubalus bubalis
African horse sickness virus,Callithrix jacchus
African horse sickness virus,Callospermophilus lateralis
African horse sickness virus,Camelus bactrianus
African horse sickness virus,Camelus dromedarius
African horse sickness virus,Canis adustus
African horse sickness virus,Canis aureus
African horse sickness virus,Canis latrans
African horse sickness virus,Canis lupus
African horse sickness virus,Canis lupus familiaris
African horse sickness virus,Canis mesomelas
African horse sickness virus,Canis simensis
African horse sickness virus,Capra hircus
African horse sickness virus,Capra ibex
African horse sickness virus,Capra nubiana
African horse sickness virus,Capra pyrenaica
African horse sickness virus,Caracal caracal
African horse sickness virus,Castor canadensis
African horse sickness virus,Castor fiber
African horse sickness virus,Cephalophus dorsalis
African horse sickness virus,Cephalophus leucogaster
African horse sickness virus,Cephalophus niger
African horse sickness virus,Cephalophus nigrifrons
African horse sickness virus,Cephalophus silvicultor
African horse sickness virus,Cephalophus weynsi
African horse sickness virus,Cephalophus zebra
African horse sickness virus,Ceratotherium simum
African horse sickness virus,Cercopithecus neglectus
African horse sickness virus,Cerdocyon thous
African horse sickness virus,Chaetophractus vellerosus
African horse sickness virus,Choeropsis liberiensis
African horse sickness virus,Choloepus didactylus
African horse sickness virus,Choloepus hoffmanni
African horse sickness virus,Chrotogale owstoni
African horse sickness virus,Chrysocyon brachyurus
African horse sickness virus,Coendou melanurus
African horse sickness virus,Coendou prehensilis
African horse sickness virus,Connochaetes gnou
African horse sickness virus,Connochaetes taurinus
African horse sickness virus,Cricetomys gambianus
African horse sickness virus,Crocidura leucodon
African horse sickness virus,Crocuta crocuta
African horse sickness virus,Cynopterus brachyotis
African horse sickness virus,Cystophora cristata
African horse sickness virus,Damaliscus lunatus
African horse sickness virus,Damaliscus pygargus
